x	y
0	-50.0000
1	-48.0000
2	-50.0000
3	-50.0000
4	-50.0000
5	-48.0000
6	-52.0000
7	-48.0000
8	-50.0000
9	-48.0000
10	-44.0000
11	-46.0000
12	-48.0000
13	-50.0000
14	-52.0000
15	-52.0000
16	-50.0000
17	-48.0000
18	-52.0000
19	-48.0000
20	-54.0000
21	-46.0000
22	-48.0000
23	-46.0000
24	-48.0000
25	-48.0000
26	-48.0000
27	-56.0000
28	-48.0000
29	-50.0000
30	-48.0000
31	-44.0000
32	-50.0000
33	-48.0000
34	-50.0000
35	-44.0000
36	-52.0000
37	-50.0000
38	-48.0000
39	-50.0000
40	-42.0000
41	-46.0000
42	-48.0000
43	-48.0000
44	-50.0000
45	-50.0000
46	-48.0000
47	-52.0000
48	-48.0000
49	-48.0000
50	-48.0000
51	-48.0000
52	-52.0000
53	-52.0000
54	-50.0000
55	-50.0000
56	-50.0000
57	-46.0000
58	-54.0000
59	-46.0000
60	-46.0000
61	-48.0000
62	-52.0000
63	-48.0000
64	-52.0000
65	-52.0000
66	-46.0000
67	-48.0000
68	-52.0000
69	-48.0000
70	-52.0000
71	-50.0000
72	-46.0000
73	-52.0000
74	-54.0000
75	-44.0000
76	-46.0000
77	-44.0000
78	-50.0000
79	-46.0000
80	-50.0000
81	-48.0000
82	-52.0000
83	-50.0000
84	-48.0000
85	-50.0000
86	-46.0000
87	-46.0000
88	-50.0000
89	-52.0000
90	-50.0000
91	-48.0000
92	-50.0000
93	-56.0000
94	-52.0000
95	-48.0000
96	-54.0000
97	-52.0000
98	-48.0000
99	-46.0000
100	-46.0000
101	-52.0000
102	-48.0000
103	-46.0000
104	-48.0000
105	-46.0000
106	-46.0000
107	-46.0000
108	-44.0000
109	-48.0000
110	-44.0000
111	-50.0000
112	-50.0000
113	-50.0000
114	-50.0000
115	-50.0000
116	-48.0000
117	-46.0000
118	-44.0000
119	-46.0000
120	-50.0000
121	-48.0000
122	-50.0000
123	-48.0000
124	-44.0000
125	-48.0000
126	-44.0000
127	-46.0000
128	-52.0000
129	-46.0000
130	-50.0000
131	-48.0000
132	-50.0000
133	-48.0000
134	-54.0000
135	-44.0000
136	-50.0000
137	-48.0000
138	-50.0000
139	-48.0000
140	-46.0000
141	-52.0000
142	-54.0000
143	-52.0000
144	-56.0000
145	-48.0000
146	-50.0000
147	-48.0000
148	-52.0000
149	-46.0000
150	-48.0000
151	-48.0000
152	-50.0000
153	-48.0000
154	-50.0000
155	-54.0000
156	-48.0000
157	-50.0000
158	-50.0000
159	-48.0000
160	-48.0000
161	-44.0000
162	-50.0000
163	-44.0000
164	-52.0000
165	-44.0000
166	-44.0000
167	-50.0000
168	-46.0000
169	-48.0000
170	-50.0000
171	-50.0000
172	-50.0000
173	-48.0000
174	-46.0000
175	-50.0000
176	-50.0000
177	-44.0000
178	-48.0000
179	-50.0000
180	-50.0000
181	-54.0000
182	-50.0000
183	-52.0000
184	-48.0000
185	-46.0000
186	-54.0000
187	-48.0000
188	-48.0000
189	-50.0000
190	-52.0000
191	-42.0000
192	-48.0000
193	-50.0000
194	-46.0000
195	-50.0000
196	-48.0000
197	-52.0000
198	-50.0000
199	-52.0000
200	-48.0000
201	-52.0000
202	-56.0000
203	-46.0000
204	-44.0000
205	-46.0000
206	-52.0000
207	-48.0000
208	-50.0000
209	-48.0000
210	-50.0000
211	-48.0000
212	-48.0000
213	-48.0000
214	-46.0000
215	-46.0000
216	-48.0000
217	-50.0000
218	-50.0000
219	-48.0000
220	-46.0000
221	-54.0000
222	-52.0000
223	-50.0000
224	-50.0000
225	-48.0000
226	-48.0000
227	-48.0000
228	-46.0000
229	-52.0000
230	-46.0000
231	-50.0000
232	-52.0000
233	-48.0000
234	-50.0000
235	-48.0000
236	-42.0000
237	-50.0000
238	-46.0000
239	-52.0000
240	-48.0000
241	-50.0000
242	-52.0000
243	-52.0000
244	-48.0000
245	-46.0000
246	-46.0000
247	-48.0000
248	-52.0000
249	-46.0000
250	-52.0000
251	-50.0000
252	-46.0000
253	-46.0000
254	-42.0000
255	-52.0000
256	-48.0000
257	-48.0000
258	-48.0000
259	-50.0000
260	-50.0000
261	-48.0000
262	-52.0000
263	-44.0000
264	-48.0000
265	-46.0000
266	-48.0000
267	-50.0000
268	-48.0000
269	-54.0000
270	-56.0000
271	-50.0000
272	-58.0000
273	-48.0000
274	-54.0000
275	-48.0000
276	-54.0000
277	-44.0000
278	-48.0000
279	-44.0000
280	-50.0000
281	-50.0000
282	-50.0000
283	-48.0000
284	-44.0000
285	-48.0000
286	-48.0000
287	-44.0000
288	-48.0000
289	-44.0000
290	-48.0000
291	-44.0000
292	-50.0000
293	-46.0000
294	-44.0000
295	-46.0000
296	-52.0000
297	-48.0000
298	-50.0000
299	-50.0000
300	-48.0000
301	-50.0000
302	-46.0000
303	-50.0000
304	-48.0000
305	-44.0000
306	-46.0000
307	-50.0000
308	-50.0000
309	-50.0000
310	-50.0000
311	-56.0000
312	-48.0000
313	-48.0000
314	-50.0000
315	-46.0000
316	-46.0000
317	-50.0000
318	-50.0000
319	-44.0000
320	-48.0000
321	-46.0000
322	-44.0000
323	-52.0000
324	-48.0000
325	-54.0000
326	-52.0000
327	-52.0000
328	-48.0000
329	-50.0000
330	-54.0000
331	-44.0000
332	-42.0000
333	-48.0000
334	-52.0000
335	-48.0000
336	-52.0000
337	-50.0000
338	-50.0000
339	-50.0000
340	-48.0000
341	-48.0000
342	-50.0000
343	-48.0000
344	-48.0000
345	-50.0000
346	-50.0000
347	-48.0000
348	-48.0000
349	-54.0000
350	-52.0000
351	-48.0000
352	-50.0000
353	-50.0000
354	-50.0000
355	-46.0000
356	-46.0000
357	-54.0000
358	-46.0000
359	-46.0000
360	-50.0000
361	-46.0000
362	-46.0000
363	-46.0000
364	-46.0000
365	-48.0000
366	-46.0000
367	-48.0000
368	-46.0000
369	-50.0000
370	-50.0000
371	-50.0000
372	-48.0000
373	-46.0000
374	-44.0000
375	-46.0000
376	-46.0000
377	-48.0000
378	-50.0000
379	-46.0000
380	-44.0000
381	-48.0000
382	-50.0000
383	-52.0000
384	-50.0000
385	-46.0000
386	-50.0000
387	-48.0000
388	-48.0000
389	-48.0000
390	-54.0000
391	-44.0000
392	-50.0000
393	-48.0000
394	-50.0000
395	-48.0000
396	-50.0000
397	-54.0000
398	-50.0000
399	-50.0000
400	-52.0000
401	-50.0000
402	-54.0000
403	-50.0000
404	-46.0000
405	-44.0000
406	-52.0000
407	-48.0000
408	-48.0000
409	-52.0000
410	-48.0000
411	-48.0000
412	-48.0000
413	-50.0000
414	-50.0000
415	-46.0000
416	-52.0000
417	-46.0000
418	-48.0000
419	-46.0000
420	-48.0000
421	-48.0000
422	-44.0000
423	-50.0000
424	-46.0000
425	-46.0000
426	-54.0000
427	-52.0000
428	-50.0000
429	-52.0000
430	-44.0000
431	-48.0000
432	-50.0000
433	-48.0000
434	-48.0000
435	-44.0000
436	-52.0000
437	-50.0000
438	-48.0000
439	-54.0000
440	-54.0000
441	-42.0000
442	-50.0000
443	-48.0000
444	-48.0000
445	-50.0000
446	-54.0000
447	-46.0000
448	-48.0000
449	-48.0000
450	-46.0000
451	-52.0000
452	-48.0000
453	-52.0000
454	-54.0000
455	-50.0000
456	-46.0000
457	-50.0000
458	-52.0000
459	-46.0000
460	-44.0000
461	-46.0000
462	-48.0000
463	-50.0000
464	-50.0000
465	-48.0000
466	-46.0000
467	-54.0000
468	-50.0000
469	-54.0000
470	-50.0000
471	-48.0000
472	-48.0000
473	-50.0000
474	-46.0000
475	-54.0000
476	-50.0000
477	-50.0000
478	-50.0000
479	-46.0000
480	-50.0000
481	-46.0000
482	-50.0000
483	-48.0000
484	-48.0000
485	-50.0000
486	-46.0000
487	-50.0000
488	-52.0000
489	-48.0000
490	-46.0000
491	-48.0000
492	-48.0000
493	-52.0000
494	-48.0000
495	-48.0000
496	-48.0000
497	-50.0000
498	-48.0000
499	-48.0000
500	-48.0000
501	-48.0000
502	-46.0000
503	-46.0000
504	-44.0000
505	-50.0000
506	-48.0000
507	-46.0000
508	-42.0000
509	-48.0000
510	-46.0000
511	-54.0000
512	-48.0000
513	-50.0000
514	-52.0000
515	-50.0000
516	-48.0000
517	-50.0000
518	-50.0000
519	-50.0000
520	-50.0000
521	-50.0000
522	-48.0000
523	-46.0000
524	-50.0000
525	-50.0000
526	-50.0000
527	-52.0000
528	-50.0000
529	-48.0000
530	-50.0000
531	-48.0000
532	-48.0000
533	-48.0000
534	-50.0000
535	-50.0000
536	-50.0000
537	-50.0000
538	-48.0000
539	-48.0000
540	-44.0000
541	-50.0000
542	-48.0000
543	-48.0000
544	-44.0000
545	-42.0000
546	-50.0000
547	-46.0000
548	-50.0000
549	-48.0000
550	-46.0000
551	-46.0000
552	-48.0000
553	-48.0000
554	-50.0000
555	-50.0000
556	-50.0000
557	-50.0000
558	-46.0000
559	-48.0000
560	-50.0000
561	-44.0000
562	-46.0000
563	-46.0000
564	-52.0000
565	-52.0000
566	-48.0000
567	-54.0000
568	-50.0000
569	-46.0000
570	-52.0000
571	-48.0000
572	-50.0000
573	-48.0000
574	-50.0000
575	-48.0000
576	-44.0000
577	-46.0000
578	-46.0000
579	-54.0000
580	-50.0000
581	-46.0000
582	-52.0000
583	-48.0000
584	-46.0000
585	-50.0000
586	-52.0000
587	-48.0000
588	-46.0000
589	-48.0000
590	-46.0000
591	-50.0000
592	-52.0000
593	-52.0000
594	-48.0000
595	-50.0000
596	-44.0000
597	-52.0000
598	-50.0000
599	-50.0000
600	-50.0000
601	-52.0000
602	-46.0000
603	-44.0000
604	-46.0000
605	-52.0000
606	-50.0000
607	-46.0000
608	-50.0000
609	-48.0000
610	-50.0000
611	-50.0000
612	-46.0000
613	-46.0000
614	-46.0000
615	-52.0000
616	-48.0000
617	-50.0000
618	-46.0000
619	-46.0000
620	-44.0000
621	-50.0000
622	-44.0000
623	-52.0000
624	-50.0000
625	-46.0000
626	-48.0000
627	-48.0000
628	-46.0000
629	-50.0000
630	-48.0000
631	-48.0000
632	-48.0000
633	-52.0000
634	-50.0000
635	-52.0000
636	-48.0000
637	-46.0000
638	-48.0000
639	-48.0000
640	-42.0000
641	-50.0000
642	-52.0000
643	-46.0000
644	-50.0000
645	-48.0000
646	-50.0000
647	-48.0000
648	-52.0000
649	-46.0000
650	-50.0000
651	-48.0000
652	-48.0000
653	-52.0000
654	-54.0000
655	-50.0000
656	-48.0000
657	-52.0000
658	-50.0000
659	-48.0000
660	-50.0000
661	-50.0000
662	-48.0000
663	-46.0000
664	-52.0000
665	-50.0000
666	-48.0000
667	-50.0000
668	-46.0000
669	-50.0000
670	-42.0000
671	-48.0000
672	-48.0000
673	-44.0000
674	-48.0000
675	-44.0000
676	-50.0000
677	-48.0000
678	-48.0000
679	-50.0000
680	-50.0000
681	-46.0000
682	-52.0000
683	-50.0000
684	-48.0000
685	-50.0000
686	-48.0000
687	-50.0000
688	-50.0000
689	-46.0000
690	-50.0000
691	-44.0000
692	-50.0000
693	-50.0000
694	-48.0000
695	-52.0000
696	-50.0000
697	-48.0000
698	-54.0000
699	-46.0000
700	-52.0000
701	-48.0000
702	-52.0000
703	-46.0000
704	-48.0000
705	-50.0000
706	-44.0000
707	-50.0000
708	-46.0000
709	-50.0000
710	-52.0000
711	-48.0000
712	-46.0000
713	-48.0000
714	-52.0000
715	-48.0000
716	-48.0000
717	-48.0000
718	-48.0000
719	-46.0000
720	-54.0000
721	-46.0000
722	-52.0000
723	-52.0000
724	-44.0000
725	-50.0000
726	-48.0000
727	-48.0000
728	-48.0000
729	-52.0000
730	-48.0000
731	-50.0000
732	-50.0000
733	-50.0000
734	-48.0000
735	-50.0000
736	-48.0000
737	-48.0000
738	-50.0000
739	-50.0000
740	-50.0000
741	-50.0000
742	-50.0000
743	-50.0000
744	-52.0000
745	-52.0000
746	-46.0000
747	-46.0000
748	-42.0000
749	-48.0000
750	-48.0000
751	-50.0000
752	-52.0000
753	-46.0000
754	-48.0000
755	-50.0000
756	-50.0000
757	-50.0000
758	-46.0000
759	-44.0000
760	-48.0000
761	-50.0000
762	-50.0000
763	-52.0000
764	-48.0000
765	-46.0000
766	-48.0000
767	-46.0000
768	-46.0000
769	-46.0000
770	-50.0000
771	-50.0000
772	-44.0000
773	-46.0000
774	-50.0000
775	-48.0000
776	-50.0000
777	-46.0000
778	-48.0000
779	-48.0000
780	-52.0000
781	-50.0000
782	-50.0000
783	-52.0000
784	-46.0000
785	-48.0000
786	-52.0000
787	-46.0000
788	-50.0000
789	-46.0000
790	-48.0000
791	-50.0000
792	-46.0000
793	-50.0000
794	-48.0000
795	-50.0000
796	-44.0000
797	-50.0000
798	-46.0000
799	-48.0000
800	-48.0000
801	-48.0000
802	-52.0000
803	-42.0000
804	-48.0000
805	-50.0000
806	-48.0000
807	-50.0000
808	-50.0000
809	-44.0000
810	-48.0000
811	-48.0000
812	-56.0000
813	-50.0000
814	-48.0000
815	-46.0000
816	-54.0000
817	-48.0000
818	-46.0000
819	-42.0000
820	-52.0000
821	-54.0000
822	-54.0000
823	-50.0000
824	-48.0000
825	-48.0000
826	-54.0000
827	-48.0000
828	-48.0000
829	-48.0000
830	-50.0000
831	-50.0000
832	-46.0000
833	-50.0000
834	-48.0000
835	-50.0000
836	-46.0000
837	-50.0000
838	-54.0000
839	-50.0000
840	-46.0000
841	-48.0000
842	-50.0000
843	-46.0000
844	-46.0000
845	-44.0000
846	-54.0000
847	-48.0000
848	-50.0000
849	-48.0000
850	-50.0000
851	-50.0000
852	-42.0000
853	-50.0000
854	-46.0000
855	-50.0000
856	-48.0000
857	-46.0000
858	-50.0000
859	-48.0000
860	-48.0000
861	-50.0000
862	-50.0000
863	-46.0000
864	-50.0000
865	-50.0000
866	-54.0000
867	-48.0000
868	-50.0000
869	-50.0000
870	-42.0000
871	-52.0000
872	-50.0000
873	-50.0000
874	-48.0000
875	-50.0000
876	-44.0000
877	-50.0000
878	-48.0000
879	-50.0000
880	-48.0000
881	-50.0000
882	-44.0000
883	-48.0000
884	-48.0000
885	-48.0000
886	-46.0000
887	-46.0000
888	-44.0000
889	-50.0000
890	-52.0000
891	-52.0000
892	-46.0000
893	-44.0000
894	-46.0000
895	-42.0000
896	-48.0000
897	-48.0000
898	-48.0000
899	-50.0000
900	-48.0000
901	-46.0000
902	-48.0000
903	-48.0000
904	-48.0000
905	-46.0000
906	-48.0000
907	-48.0000
908	-50.0000
909	-50.0000
910	-52.0000
911	-52.0000
912	-48.0000
913	-50.0000
914	-54.0000
915	-50.0000
916	-52.0000
917	-48.0000
918	-54.0000
919	-52.0000
920	-50.0000
921	-52.0000
922	-48.0000
923	-48.0000
924	-46.0000
925	-48.0000
926	-50.0000
927	-48.0000
928	-48.0000
929	-44.0000
930	-50.0000
931	-46.0000
932	-50.0000
933	-48.0000
934	-50.0000
935	-54.0000
936	-50.0000
937	-46.0000
938	-50.0000
939	-46.0000
940	-50.0000
941	-48.0000
942	-44.0000
943	-46.0000
944	-52.0000
945	-48.0000
946	-52.0000
947	-46.0000
948	-46.0000
949	-46.0000
950	-50.0000
951	-52.0000
952	-48.0000
953	-48.0000
954	-50.0000
955	-50.0000
956	-48.0000
957	-40.0000
958	-52.0000
959	-50.0000
960	-44.0000
961	-48.0000
962	-48.0000
